date,pm25,o3,no2,so2,co
2021-09-05,19.0,26.0,6.0,1.0,5.0
2021-09-04,20.0,13.0,5.0,1.0,5.0
2021-09-03,21.0,15.0,8.0,1.0,4.0
2021-09-02,31.0,26.0,9.0,1.0,3.0
2021-09-01,36.0,19.0,14.0,1.0,4.0
2021-08-31,30.0,30.0,11.0,1.0,4.0
2021-08-30,19.0,30.0,9.0,1.0,4.0
2021-08-29,15.0,24.0,5.0,1.0,4.0
2021-08-28,51.0,23.0,2.0,1.0,3.0
2021-08-27,60.0,35.0,14.0,1.0,4.0
2021-08-26,59.0,46.0,12.0,1.0,5.0
2021-08-25,23.0,40.0,12.0,1.0,5.0
2021-08-24,16.0,26.0,10.0,1.0,3.0
2021-08-23,16.0,25.0,9.0,1.0,1.0
2021-08-22,26.0,21.0,4.0,1.0,1.0
2021-08-21,25.0,28.0,11.0,1.0,3.0
2021-08-20,26.0,15.0,9.0,1.0,3.0
2021-08-19,27.0,21.0,6.0,1.0,2.0
2021-08-18,36.0,29.0,9.0,1.0,2.0
2021-08-17,24.0,33.0,9.0,1.0,1.0
2021-08-16,29.0,27.0,8.0,1.0,2.0
2021-08-15,37.0,29.0,7.0,1.0,1.0
2021-08-14,38.0,33.0,7.0,1.0,1.0
2021-08-13,46.0,39.0,14.0,1.0,2.0
2021-08-12,47.0,42.0,9.0,1.0,1.0
2021-08-11,23.0,37.0,7.0,1.0,1.0
2021-08-10,53.0,26.0,8.0,1.0,2.0
2021-08-09,57.0,24.0,6.0,1.0,2.0
2021-08-08,54.0,33.0,9.0,1.0,2.0
2021-08-07,45.0,45.0,8.0,1.0,3.0
2021-08-06,14.0,38.0,10.0,1.0,2.0
2021-08-05,37.0,34.0,9.0,1.0,2.0
2021-08-04,31.0,36.0,10.0,1.0,2.0
2021-08-03,32.0,23.0,10.0,1.0,2.0
2021-08-02,28.0,27.0,10.0,1.0,2.0
2021-08-01,20.0,28.0,7.0,1.0,1.0
2021-07-31,18.0,20.0,5.0,1.0,1.0
2021-07-30,32.0,25.0,10.0,1.0,1.0
2021-07-29,44.0,28.0,7.0,1.0,1.0
2021-07-28,82.0,17.0,5.0,1.0,2.0
2021-07-27,104.0,37.0,12.0,1.0,2.0
2021-07-26,40.0,42.0,11.0,1.0,4.0
2021-07-25,34.0,30.0,5.0,1.0,1.0
2021-07-24,41.0,27.0,9.0,1.0,2.0
2021-07-23,30.0,27.0,10.0,1.0,2.0
2021-07-22,66.0,27.0,8.0,1.0,2.0
2021-07-21,94.0,38.0,11.0,1.0,3.0
2021-07-20,24.0,32.0,10.0,1.0,4.0
2021-07-19,32.0,14.0,9.0,1.0,2.0
2021-07-18,35.0,20.0,6.0,1.0,1.0
2021-07-17,55.0,26.0,5.0,1.0,1.0
2021-07-16,34.0,40.0,11.0,1.0,1.0
2021-07-15,47.0,30.0,12.0,1.0,3.0
2021-07-14,20.0,13.0,12.0,1.0,2.0
2021-07-13,31.0,27.0,5.0,1.0,1.0
2021-07-12,47.0,29.0,8.0,1.0,1.0
2021-07-11,32.0,26.0,8.0,1.0,2.0
2021-07-10,24.0,18.0,6.0,1.0,1.0
2021-07-09,38.0,12.0,9.0,1.0,1.0
2021-07-08,61.0,20.0,5.0,1.0,1.0
2021-07-07,50.0,35.0,12.0,1.0,1.0
2021-07-06,29.0,42.0,8.0,1.0,1.0
2021-07-05,27.0,22.0,6.0,1.0,1.0
2021-07-04,20.0,12.0,4.0,1.0,1.0
2021-07-03,19.0,10.0,3.0,1.0,1.0
2021-07-02,36.0,24.0,4.0,1.0,1.0
2021-07-01,40.0,26.0,10.0,1.0,1.0
2021-06-30,50.0,43.0,10.0,1.0,1.0
2021-06-29,43.0,41.0,8.0,1.0,1.0
2021-06-28,26.0,42.0,6.0,1.0,1.0
2021-06-27,15.0,26.0,2.0,1.0,1.0
2021-06-26,13.0,18.0,1.0,1.0,1.0
2021-06-25,32.0,20.0,9.0,1.0,1.0
2021-06-24,30.0,25.0,8.0,1.0,1.0
2021-06-23,25.0,23.0,7.0,1.0,1.0
2021-06-22,57.0,12.0,10.0,1.0,1.0
2021-06-21,37.0,32.0,10.0,1.0,1.0
2021-06-20,45.0,47.0,5.0,1.0,1.0
2021-06-19,38.0,44.0,7.0,1.0,1.0
2021-06-18,31.0,50.0,11.0,1.0,1.0
2021-06-17,39.0,18.0,12.0,1.0,1.0
2021-06-16,28.0,19.0,12.0,1.0,1.0
2021-06-15,22.0,16.0,15.0,1.0,2.0
2021-06-14,37.0,26.0,13.0,1.0,1.0
2021-06-13,35.0,36.0,5.0,1.0,1.0
2021-06-12,34.0,33.0,9.0,1.0,1.0
2021-06-11,23.0,23.0,7.0,1.0,1.0
2021-06-10,46.0,22.0,15.0,1.0,1.0
2021-06-09,54.0,34.0,11.0,1.0,1.0
2021-06-08,63.0,40.0,11.0,1.0,1.0
2021-06-07,54.0,48.0,12.0,1.0,1.0
2021-06-06,48.0,56.0,7.0,1.0,1.0
2021-06-05,32.0,66.0,8.0,1.0,1.0
2021-06-04,30.0,26.0,9.0,1.0,1.0
2021-06-03,34.0,24.0,9.0,1.0,1.0
2021-06-02,21.0,45.0,11.0,1.0,2.0
2021-06-01,26.0,41.0,7.0,1.0,1.0
2021-05-31,25.0,21.0,7.0,1.0,1.0
2021-05-30,23.0,26.0,3.0,1.0,1.0
2021-05-29,20.0,29.0,3.0,1.0,1.0
2021-05-28,36.0,28.0,4.0,1.0,1.0
2021-05-27,41.0,29.0,8.0,1.0,1.0
2021-05-26,29.0,45.0,4.0,1.0,1.0
2021-05-25,23.0,34.0,7.0,1.0,1.0
2021-05-24,40.0,31.0,4.0,1.0,1.0
2021-05-23,46.0,31.0,6.0,1.0,1.0
2021-05-22,36.0,49.0,9.0,1.0,1.0
2021-05-21,33.0,36.0,11.0,1.0,1.0
2021-05-20,34.0,30.0,7.0,1.0,1.0
2021-05-19,40.0,32.0,11.0,1.0,1.0
2021-05-18,43.0,43.0,16.0,1.0,1.0
2021-05-17,40.0,37.0,15.0,1.0,2.0
2021-05-16,46.0,40.0,9.0,1.0,1.0
2021-05-15,39.0,35.0,10.0,1.0,2.0
2021-05-14,26.0,34.0,14.0,1.0,2.0
2021-05-13,19.0,30.0,15.0,1.0,1.0
2021-05-12,21.0,27.0,9.0,1.0,1.0
2021-05-11,29.0,27.0,8.0,1.0,1.0
2021-05-10,28.0,28.0,10.0,1.0,1.0
2021-05-09,22.0,33.0,5.0,1.0,1.0
2021-05-08,20.0,23.0,6.0,1.0,1.0
2021-05-07,17.0,23.0,9.0,1.0,1.0
2021-05-06,24.0,28.0,10.0,1.0,1.0
2021-05-05,28.0,23.0,9.0,1.0,1.0
2021-05-04,27.0,26.0,9.0,1.0,1.0
2021-05-03,30.0,27.0,9.0,1.0,1.0
2021-05-02,18.0,40.0,8.0,1.0,1.0
2021-05-01,19.0,26.0,6.0,1.0,1.0
2021-04-30,39.0,28.0,9.0,1.0,1.0
2021-04-29,41.0,25.0,16.0,1.0,2.0
2021-04-28,24.0,30.0,16.0,1.0,1.0
2021-04-27,19.0,33.0,14.0,1.0,2.0
2021-04-26,41.0,24.0,9.0,1.0,1.0
2021-04-25,39.0,42.0,10.0,1.0,1.0
2021-04-24,22.0,47.0,11.0,1.0,1.0
2021-04-23,18.0,36.0,9.0,1.0,1.0
2021-04-22,36.0,31.0,8.0,1.0,1.0
2021-04-21,40.0,38.0,13.0,1.0,1.0
2021-04-20,39.0,41.0,15.0,1.0,1.0
2021-04-19,27.0,29.0,17.0,1.0,3.0
2021-04-18,17.0,27.0,11.0,1.0,1.0
2021-04-17,21.0,24.0,12.0,1.0,1.0
2021-04-16,30.0,29.0,12.0,1.0,1.0
2021-04-15,28.0,28.0,8.0,1.0,1.0
2021-04-14,30.0,28.0,5.0,1.0,1.0
2021-04-13,22.0,30.0,12.0,1.0,1.0
2021-04-12,36.0,26.0,7.0,1.0,1.0
2021-04-11,32.0,26.0,4.0,1.0,1.0
2021-04-10,27.0,38.0,8.0,1.0,1.0
2021-04-09,17.0,28.0,14.0,1.0,2.0
2021-04-08,21.0,27.0,10.0,1.0,1.0
2021-04-07,18.0,23.0,16.0,1.0,2.0
2021-04-06,26.0,28.0,11.0,1.0,1.0
2021-04-05,27.0,33.0,13.0,1.0,2.0
2021-04-04,24.0,33.0,16.0,1.0,3.0
2021-04-03,25.0,33.0,16.0,1.0,2.0
2021-04-02,21.0,28.0,10.0,1.0,1.0
2021-04-01,32.0,27.0,11.0,1.0,1.0
2021-03-31,27.0,36.0,9.0,1.0,1.0
2021-03-30,20.0,36.0,15.0,1.0,2.0
2021-03-29,23.0,28.0,10.0,1.0,1.0
2021-03-28,16.0,24.0,4.0,1.0,1.0
2021-03-27,35.0,27.0,6.0,1.0,1.0
2021-03-26,48.0,27.0,8.0,1.0,1.0
2021-03-25,41.0,24.0,25.0,1.0,2.0
2021-03-24,37.0,21.0,22.0,1.0,3.0
2021-03-23,41.0,28.0,22.0,1.0,2.0
2021-03-22,38.0,33.0,20.0,1.0,2.0
2021-03-21,28.0,34.0,20.0,1.0,3.0
2021-03-20,25.0,32.0,19.0,1.0,2.0
2021-03-19,54.0,30.0,9.0,1.0,1.0
2021-03-18,38.0,26.0,16.0,1.0,2.0
2021-03-17,33.0,33.0,14.0,1.0,2.0
2021-03-16,26.0,26.0,18.0,1.0,2.0
