ID Group,Group,ID Year,Year,Commute Means,Commute Means Moe,Geography,ID Geography,Slug Geography,share
6,"Walked",2014,"2014",48357,3841,"Boston, MA","16000US2507000","boston-ma",0.14314173568641844
7,"Other",2014,"2014",2294,672,"Boston, MA","16000US2507000","boston-ma",0.00679047793834696
8,"Worked At Home",2014,"2014",11374,1674,"Boston, MA","16000US2507000","boston-ma",0.0336682197344195
0,"Drove Alone",2013,"2013",138812,5261,"Boston, MA","16000US2507000","boston-ma",0.4061478683469046
1,"Carpooled",2013,"2013",18400,2716.9723958848017,"Boston, MA","16000US2507000","boston-ma",0.05383627335952975
2,"Public Transit",2013,"2013",112904,6153.642823563941,"Boston, MA","16000US2507000","boston-ma",0.3303440547491493
3,"Taxi",2013,"2013",1054,558,"Boston, MA","16000US2507000","boston-ma",0.0030838821804861066
4,"Motorcycle",2013,"2013",204,187,"Boston, MA","16000US2507000","boston-ma",0.000596880422029569
5,"Bicycle",2013,"2013",6662,1399,"Boston, MA","16000US2507000","boston-ma",0.019492242017455825
6,"Walked",2013,"2013",49558,3918,"Boston, MA","16000US2507000","boston-ma",0.14500098017128127
7,"Other",2013,"2013",2412,864,"Boston, MA","16000US2507000","boston-ma",0.007057233225173139
8,"Worked At Home",2013,"2013",11771,1645,"Boston, MA","16000US2507000","boston-ma",0.034440585527990474
