ID Year,Year,Average Commute Time,Geography,ID Geography,Slug Geography
2016,"2016",30.81583376015219,"Milton, MA","16000US2541725","milton-ma"
2016,"2016",32.98240938166311,"Nahant, MA","16000US2543615","nahant-ma"
2016,"2016",27.75887316086744,"Needham, MA","16000US2544140","needham-ma"
2016,"2016",25.445060840581696,"Newton, MA","16000US2545560","newton-ma"
2016,"2016",34.22815744798452,"Quincy, MA","16000US2555745","quincy-ma"
2016,"2016",31.905625137332454,"Revere, MA","16000US2556585","revere-ma"
2016,"2016",29.563108694801894,"Somerville, MA","16000US2562535","somerville-ma"
2016,"2016",25.728721050302404,"Watertown Town, MA","16000US2573440","watertown-town-ma"
2016,"2016",30.98898270181219,"Winthrop Town, MA","16000US2581005","winthrop-town-ma"
2016,"2016",29.146186361273564,"Boston-Cambridge-Newton, MA-NH","31000US14460","boston-cambridge-newton-ma-nh"
2015,"2015",24.78487704991627,"United States","01000US","united-states"
2015,"2015",27.41331064863245,"Massachusetts","04000US25","massachusetts"
2015,"2015",29.207538157028846,"Suffolk County, MA","05000US25025","suffolk-county-ma"
2015,"2015",28.975732020169257,"Boston, MA","16000US2507000","boston-ma"
2015,"2015",26.882469800378097,"Brookline, MA","16000US2509210","brookline-ma"
2015,"2015",23.220993663029986,"Cambridge, MA","16000US2511000","cambridge-ma"
2015,"2015",29.774873709641994,"Chelsea, MA","16000US2513205","chelsea-ma"
2015,"2015",28.212832176203015,"Dedham, MA","16000US2516530","dedham-ma"
2015,"2015",31.79687849380618,"Everett, MA","16000US2521990","everett-ma"
2015,"2015",34.61644338410718,"Hull, MA","16000US2531680","hull-ma"
2015,"2015",29.778453200527316,"Milton, MA","16000US2541725","milton-ma"
2015,"2015",34.54666666666667,"Nahant, MA","16000US2543615","nahant-ma"
2015,"2015",27.292292976223013,"Needham, MA","16000US2544140","needham-ma"
2015,"2015",25.093993528687964,"Newton, MA","16000US2545560","newton-ma"
2015,"2015",33.49766795673315,"Quincy, MA","16000US2555745","quincy-ma"
2015,"2015",31.38845640569395,"Revere, MA","16000US2556585","revere-ma"
2015,"2015",28.572640660778543,"Somerville, MA","16000US2562535","somerville-ma"
2015,"2015",25.290505071097293,"Watertown Town, MA","16000US2573440","watertown-town-ma"
2015,"2015",30.22857451637307,"Winthrop Town, MA","16000US2581005","winthrop-town-ma"
2015,"2015",28.7989297206741,"Boston-Cambridge-Newton, MA-NH","31000US14460","boston-cambridge-newton-ma-nh"
2014,"2014",24.58629973911742,"United States","01000US","united-states"
2014,"2014",27.063709019000925,"Massachusetts","04000US25","massachusetts"
2014,"2014",28.450967882525607,"Suffolk County, MA","05000US25025","suffolk-county-ma"
2014,"2014",28.28314613600293,"Boston, MA","16000US2507000","boston-ma"
2014,"2014",26.581885456885455,"Brookline, MA","16000US2509210","brookline-ma"
2014,"2014",22.942138535328713,"Cambridge, MA","16000US2511000","cambridge-ma"
2014,"2014",29.11232396357672,"Chelsea, MA","16000US2513205","chelsea-ma"
2014,"2014",28.28186274509804,"Dedham, MA","16000US2516530","dedham-ma"
2014,"2014",31.585282916213274,"Everett, MA","16000US2521990","everett-ma"
2014,"2014",34.85313376987839,"Hull, MA","16000US2531680","hull-ma"
2014,"2014",30.189393939393938,"Milton, MA","16000US2541725","milton-ma"
2014,"2014",32.71499448732084,"Nahant, MA","16000US2543615","nahant-ma"
2014,"2014",27.178782608695652,"Needham, MA","16000US2544140","needham-ma"
2014,"2014",24.753489445149384,"Newton, MA","16000US2545560","newton-ma"
2014,"2014",32.41592452523281,"Quincy, MA","16000US2555745","quincy-ma"
2014,"2014",30.05442999697611,"Revere, MA","16000US2556585","revere-ma"
2014,"2014",28.072016637365465,"Somerville, MA","16000US2562535","somerville-ma"
2014,"2014",24.988196048242237,"Watertown Town, MA","16000US2573440","watertown-town-ma"
2014,"2014",28.546562705908194,"Winthrop Town, MA","16000US2581005","winthrop-town-ma"
2014,"2014",28.332604523222727,"Boston-Cambridge-Newton, MA-NH","31000US14460","boston-cambridge-newton-ma-nh"
2013,"2013",24.41870746316463,"United States","01000US","united-states"
2013,"2013",26.823494585635427,"Massachusetts","04000US25","massachusetts"
2013,"2013",27.960960993040384,"Suffolk County, MA","05000US25025","suffolk-county-ma"
2013,"2013",27.786776490574344,"Boston, MA","16000US2507000","boston-ma"
2013,"2013",27.139476432954694,"Brookline, MA","16000US2509210","brookline-ma"
2013,"2013",22.801038180452156,"Cambridge, MA","16000US2511000","cambridge-ma"
2013,"2013",28.490683969283886,"Chelsea, MA","16000US2513205","chelsea-ma"
2013,"2013",28.113145307603496,"Dedham, MA","16000US2516530","dedham-ma"
2013,"2013",31.063824937314795,"Everett, MA","16000US2521990","everett-ma"
2013,"2013",34.45266272189349,"Hull, MA","16000US2531680","hull-ma"
2013,"2013",28.34833902514747,"Milton, MA","16000US2541725","milton-ma"
2013,"2013",30.81356867071153,"Nahant, MA","16000US2543615","nahant-ma"
2013,"2013",26.483410631466285,"Needham, MA","16000US2544140","needham-ma"
2013,"2013",24.41160622247212,"Newton, MA","16000US2545560","newton-ma"
2013,"2013",31.546371630506247,"Quincy, MA","16000US2555745","quincy-ma"
2013,"2013",29.481179862842893,"Revere, MA","16000US2556585","revere-ma"
2013,"2013",28.13077780448893,"Somerville, MA","16000US2562535","somerville-ma"
2013,"2013",24.210844640790995,"Watertown Town, MA","16000US2573440","watertown-town-ma"
2013,"2013",28.840633638103338,"Winthrop Town, MA","16000US2581005","winthrop-town-ma"
2013,"2013",27.96451982488239,"Boston-Cambridge-Newton, MA-NH","31000US14460","boston-cambridge-newton-ma-nh"
