date,pm25,day,month,year,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,flight_number,fuel_and_gas_total,special_fuel,gasoline,vehicle-miles,natural_gas,gasoline_sales,Population,Growth,GrowthRate
2014-01-31,1.810152520133754,0.6909462206020405,-1.5932550136313832,-1.5275252316519468,-1.5657055568422205,-1.6425753059963586,-1.619996975392566,-1.619303834026158,-1.6868902255211846,-1.658362269344028,-1.5726976870824982,-0.674317097711039,-0.1811634350217195,1.0609381617037363,-0.5111440026257816,-0.16577181397178678,1.142361562484416,0.7040764620547671,1.194993872541866,-0.33811247025252483,0.4983640416019491,-2.3986854622930696,-0.6327060270284257,-0.30943802314640767,-0.7413798205573381,-0.2438474073646263,-0.7771754025252873,1.561837489849496,-1.13548753655244,-1.8988660071489292,1.2986018874420626,1.3465143464552727
2014-02-28,1.9197953599593525,-2.994100289275509,-1.3035722838802226,-1.5275252316519468,-1.5376348840372858,-1.4840354332140242,-1.507343005586775,-1.541746773248308,-1.457705701894337,-1.5236722501253404,-1.5247868770290998,-1.0222615151255683,0.20408351705442176,0.6224357450510155,-0.5111440026257816,-0.16577181397178678,1.4525623550767695,0.24251715946062963,0.8568183031687823,0.05775560890085039,0.4311333719324167,-1.2798074149044354,-0.7821062991310339,-1.1471383535523265,-1.6223638504126443,-1.0443745953403565,-1.4532831518073757,1.0757758878548633,-0.7386435918329753,-1.8988660071489292,1.2986018874420626,1.3465143464552727
2014-03-31,1.11262730468755,0.6909462206020405,-1.013889554129062,-1.5275252316519468,-1.148244268973962,-1.2935648132202593,-1.235855900065097,-1.1625505615098743,-1.2881784847527318,-1.2485542960710254,-1.4518448013458904,-2.0786667833528565,0.4241251675695938,-0.12798972731187847,-0.5111440026257816,-0.16577181397178678,0.4273693425985881,0.5248922613943046,0.7563882573088162,-0.2339392029933182,0.7633372550391501,-0.1231682595334952,-0.028123617491702748,-0.06369820189598388,-1.0073809351828544,0.056372322094388104,-0.4251811619196639,0.8267523246870034,-0.7317394565134628,-1.8988660071489292,1.2986018874420626,1.3465143464552727
2014-04-30,-0.21859438568313627,-0.5374026160238093,-0.7242068243779014,-1.5275252316519468,-0.270279994936546,-0.3192314779617066,-0.3126380790667461,-0.2324310403068736,-0.30891300132794003,-0.27729631293979456,-0.41409045931125815,-0.7819846576717671,-0.22327761680077393,0.09601339123196305,-0.5111440026257816,-0.16577181397178678,0.44278283176316985,0.8007986003696136,-0.3925080653294134,0.3554289484398623,0.791569947473583,0.6633792018648149,0.11251826992519606,-0.3679261013327374,-1.798223158427858,-0.17564626678291703,-1.2598605740488402,0.2914528929668231,-0.4262314686250457,-1.8988660071489292,1.2986018874420626,1.3465143464552727
2014-05-31,-0.5845359583726417,0.6909462206020405,-0.43452409462674085,-1.5275252316519468,0.34885828062254975,0.35421025799285577,0.34978694400995924,0.3854391008548369,0.4304667301923335,0.4299370196632044,0.3121082329453624,0.10735986026207193,-0.4620812342841218,0.06557519160638622,-0.5111440026257816,-0.16577181397178678,-0.8391998324700388,-0.6286060303574234,-1.1262419988453551,-0.19876381404868323,1.2922065550296586,0.0009508606170254919,0.30837606079548024,0.5926218825128869,0.30855807695121795,0.605557626542819,-0.08189965004190247,-0.5825185846616467,-0.06376436435065193,-1.8988660071489292,1.2986018874420626,1.3465143464552727
2014-06-30,-0.5170048547116077,-0.5374026160238093,-0.14484136487558028,-1.5275252316519468,0.9788529488690249,0.9353498572408885,0.9883984185168923,0.9414145128429117,0.9745397047307427,0.9831224177293139,0.8443006112849861,-0.3766346028033216,-0.4985112933690706,-1.046902185552618,-0.5111440026257816,-0.16577181397178678,-1.5014284240900224,-1.1202053508777643,-0.6006367211809789,-0.34356916520419256,0.3285490043182804,0.46861944666565963,0.3868207236327036,0.37027315424640395,-0.5152917780689855,0.46663584835663746,-0.07667201280518529,-0.9799035031867489,-0.34812843782306296,-1.8988660071489292,1.2986018874420626,1.3465143464552727
2014-07-31,0.8060716367525936,0.6909462206020405,0.14484136487558028,-1.5275252316519468,1.3385294372067826,1.3269841846666646,1.330250764514363,1.3290851475432404,1.2810711509133694,1.2851884421459927,1.3406055053645751,0.6981078717188135,0.40979742028279875,-0.5980664793231869,-0.5111440026257816,-0.16577181397178678,-0.1516452372750909,-0.5961288939877156,-0.26800093867525526,-1.018620956374352,0.44522578199665785,0.7686506037702557,0.6865097996176297,0.5130343492156096,-0.7091278276329146,0.6459471177977552,0.3188858714397479,-0.5814658021181729,-0.4298273724372917,-1.8988660071489292,1.2986018874420626,1.3465143464552727
2014-08-31,0.9704565601380051,0.6909462206020405,0.43452409462674085,-1.5275252316519468,1.0948903924767737,1.1246323564081815,1.1213901990625406,1.0609367977598714,1.122690758261178,1.095233235669413,1.1238546070523112,0.5244644417404882,-1.0753557943795504,-1.1232863398778883,-0.5111440026257816,-0.16577181397178678,-2.5354906295355066,-1.6253181465312472,-0.4759089124562623,-0.052650659970777995,-0.5241884135052932,1.2789180977224042,0.6823210069418556,0.7075937823035984,-0.22760310284704582,0.7973486942924889,0.0731869213140405,-0.7052892258852161,-0.26240209093911854,-1.8988660071489292,1.2986018874420626,1.3465143464552727
2014-09-30,0.6582733002312963,-0.5374026160238093,0.7242068243779014,-1.5275252316519468,0.8486961967606741,0.811426379788155,0.83244181608087,0.8659621865326823,0.8508189478528349,0.8598578971513743,0.8991894489661454,0.7480707094777074,-1.6860936385619072,-1.5325795931819186,-0.5111440026257816,-0.16577181397178678,-2.244840105236548,-1.7705693391916357,-0.7550887072554019,1.201216665949124,-0.8568291314038273,1.252408705393958,0.2741041207209652,0.09141154913604463,-0.254027313194403,0.1310118183134789,-0.5436742726185866,-0.9226483294762848,-0.586752614803705,-1.8988660071489292,1.2986018874420626,1.3465143464552727
2014-10-31,0.3751165673367862,0.6909462206020405,1.013889554129062,-1.5275252316519468,0.170357592016812,0.27586854099736974,0.2224779421002793,0.24779168607611973,0.32672030784952194,0.3082328094723273,0.439021587878201,1.6276970510126303,1.4179071146258018,1.1161476277784688,-0.5111440026257816,-0.16577181397178678,-0.11896218433448551,-0.14144898481179063,-0.1401750931907896,-1.3284349590023847,0.7540021553787599,-0.5093166333351204,0.22168074571809587,0.37545751273686095,-0.3763171130519074,0.4549431559433103,-0.033108369165875465,-0.4991867971820605,-0.5588484012206768,-1.8988660071489292,1.2986018874420626,1.3465143464552727
