date, pm25, o3, no2, so2, co
2021/12/25, 32, 11, 18, 1, 4
2021/12/26, 64, 18, 9, 1, 3
2021/12/27, 26, 13, 13, 1, 3
2021/12/28, 27, 12, 15, 1, 4
2021/12/29, 40, 9, 15, 1, 4
2021/12/30, 42, 2, 23, 1, 5
2021/12/31, 52, 4, 18, 1, 5
2022/1/1, 66, 8, 15, , 4
2022/1/2, 56, 24, 9, , 4
2022/1/3, 26, 23, 11, 1, 1
2021/7/2, 36, 24, 4, 1, 1
2021/7/3, 19, 10, 3, , 1
2021/7/4, 20, 12, 4, 1, 1
2021/7/5, 27, 22, 6, 1, 1
2021/7/6, 29, 42, 8, 1, 1
2021/7/7, 50, 35, 12, 1, 1
2021/7/8, 61, 20, 5, 1, 1
2021/7/9, 38, 12, 9, 1, 1
2021/7/10, 24, 18, 6, 1, 1
2021/7/11, 32, 26, 8, 1, 2
2021/7/12, 47, 29, 8, , 1
2021/7/13, 31, 27, 5, , 1
2021/7/14, 20, 13, 12, 1, 2
2021/7/15, 47, 30, 12, 1, 3
2021/7/16, 34, 40, 11, 1, 1
2021/7/17, 55, 26, 5, 1, 1
2021/7/18, 35, 20, 6, 1, 1
2021/7/19, 32, 14, 9, 1, 2
2021/7/20, 24, 32, 10, 1, 4
2021/7/21, 94, 38, 11, 1, 3
2021/7/22, 66, 27, 8, 1, 2
2021/7/23, 30, 27, 10, 1, 2
2021/7/24, 41, 27, 9, 1, 2
2021/7/25, 34, 30, 5, 1, 1
2021/7/26, 40, 42, 11, 1, 4
2021/7/27, 104, 37, 12, 1, 2
2021/7/28, 82, 17, 5, , 2
2021/7/29, 44, 28, 7, 1, 1
2021/7/30, 32, 25, 10, 1, 1
2021/7/31, 18, 20, 5, 1, 1
2021/8/1, 20, 28, 7, 1, 1
2021/8/2, 28, 27, 10, 1, 2
2021/8/3, 32, 23, 10, 1, 2
2021/8/4, 31, 36, 10, 1, 2
2021/8/5, 37, 34, 9, , 2
2021/8/6, 14, 38, 10, 1, 2
2021/8/7, 45, 45, 8, 1, 3
2021/8/8, 54, 33, 9, 1, 2
2021/8/9, 57, 24, 6, 1, 2
2021/8/10, 53, 26, 8, 1, 2
2021/8/11, 23, 37, 7, 1, 1
2021/8/12, 47, 42, 9, 1, 1
2021/8/13, 46, 39, 14, 1, 2
2021/8/14, 38, 33, 7, 1, 1
2021/8/15, 37, 29, 7, 1, 1
2021/8/16, 29, 27, 8, 1, 2
2021/8/17, 24, 33, 9, 1, 1
2021/8/18, 36, 29, 9, 1, 2
2021/8/19, 27, 21, 6, 1, 2
2021/8/20, 26, 15, 9, 1, 3
2021/8/21, 25, 28, 11, 1, 3
2021/8/22, 26, 21, 4, 1, 1
2021/8/23, 16, 25, 9, 1, 1
2021/8/24, 16, 26, 10, 1, 3
2021/8/25, 23, 40, 12, 1, 5
2021/8/26, 59, 46, 12, 1, 5
2021/8/27, 60, 35, 14, 1, 4
2021/8/28, 51, 23, 2, 1, 3
2021/8/29, 15, 24, 5, 1, 4
2021/8/30, 19, 30, 9, 1, 4
2021/8/31, 30, 30, 11, 1, 4
2021/9/1, 36, 19, 14, 1, 4
2021/9/2, 31, 26, 9, 1, 3
2021/9/3, 21, 15, 8, 1, 4
2021/9/4, 20, 13, 5, 1, 5
2021/9/5, 19, 26, 6, 1, 5
2021/9/6, 28, 32, 5, 1, 4
2021/9/7, 28, 27, 10, 1, 4
2021/9/8, 25, 40, 10, 1, 4
2021/9/9, 30, 34, 12, 1, 4
2021/9/10, 33, 18, 10, 1, 4
2021/9/11, 25, 30, 8, 1, 4
2021/9/12, 28, 37, 6, 1, 4
2021/9/13, 40, 28, 11, 1, 4
2021/9/14, 37, 26, 11, 1, 3
2021/9/15, 23, 36, 4, 1, 4
2021/9/16, 44, 20, 9, 1, 2
2021/9/17, 23, 13, 6, 1, 3
2021/9/18, 22, 19, 9, 1, 4
2021/9/19, 24, 18, 5, 1, 3
2021/9/20, 27, 19, 7, 1, 4
2021/9/21, 24, 20, 9, 1, 5
2021/9/22, 28, 24, 8, , 4
2021/9/23, 23, 30, 9, 1, 3
2021/9/24, 19, 24, 5, 1, 3
2021/9/25, 19, 26, 6, 1, 3
2021/9/26, 24, 24, 5, 1, 4
2021/9/27, 24, 36, 7, 1, 4
2021/9/28, 30, 23, 11, , 4
2021/9/29, 38, 19, 6, , 2
2021/9/30, 22, 11, 6, 1, 4
2021/10/1, 18, 13, 8, 1, 5
2021/4/2, 21, 28, 10, , 1
2021/4/3, 25, 33, 16, , 2
2021/4/4, 24, 33, 16, 1, 3
2021/4/5, 27, 33, 13, 1, 
2021/4/6, 26, 28, 11, 1, 1
2021/4/7, 18, 23, 16, 1, 2
2021/4/8, 21, 27, 10, , 1
2021/4/9, 17, 28, 14, 1, 2
2021/4/10, 27, 38, 8, , 1
2021/4/11, 32, 26, 4, 1, 1
2021/4/12, 36, 26, 7, 1, 1
2021/4/13, 22, 30, 12, 1, 1
2021/4/14, 30, 28, 5, , 1
2021/4/15, 28, 28, 8, , 1
2021/4/16, 30, 29, 12, , 1
2021/4/17, 21, 24, 12, , 1
2021/4/18, 17, 27, 11, 1, 1
2021/4/19, 27, 29, 17, 1, 3
2021/4/20, 39, 41, 15, 1, 1
2021/4/21, 40, 38, 13, , 1
2021/4/22, 36, 31, 8, , 1
2021/4/23, 18, 36, 9, , 1
2021/4/24, 22, 47, 11, , 1
2021/4/25, 39, 42, 10, , 1
2021/4/26, 41, 24, 9, , 1
2021/4/27, 19, 33, 14, , 2
2021/4/28, 24, 30, 16, , 1
2021/4/29, 41, 25, 16, , 2
2021/4/30, 39, 28, 9, , 1
2021/5/1, 19, 26, 6, , 1
2021/5/2, 18, 40, 8, 1, 1
2021/5/3, 30, 27, 9, , 1
2021/5/4, 27, 26, 9, , 1
2021/5/5, 28, 23, 9, , 1
2021/5/6, 24, 28, 10, , 1
2021/5/7, 17, 23, 9, 1, 1
2021/5/8, 20, 23, 6, , 1
2021/5/9, 22, 33, 5, , 1
2021/5/10, 28, 28, 10, , 1
2021/5/11, 29, 27, 8, 1, 1
2021/5/12, 21, 27, 9, , 1
2021/5/13, 19, 30, 15, 1, 1
2021/5/14, 26, 34, 14, , 2
2021/5/15, 39, 35, 10, 1, 2
2021/5/16, 46, 40, 9, , 1
2021/5/17, 40, 37, 15, , 2
2021/5/18, 43, 43, 16, , 1
2021/5/19, 40, 32, 11, , 1
2021/5/20, 34, 30, 7, , 1
2021/5/21, 33, 36, 11, , 1
2021/5/22, 36, 49, 9, 1, 1
2021/5/23, 46, 31, 6, , 1
2021/5/24, 40, 31, 4, , 1
2021/5/25, 23, 34, 7, , 1
2021/5/26, 29, 45, 4, 1, 1
2021/5/27, 41, 29, 8, , 1
2021/5/28, 36, 28, 4, , 1
2021/5/29, 20, 29, 3, , 1
2021/5/30, 23, 26, 3, , 1
2021/5/31, 25, 21, 7, , 1
2021/6/1, 26, 41, 7, 1, 1
2021/6/2, 21, 45, 11, , 2
2021/6/3, 34, 24, 9, , 1
2021/6/4, 30, 26, 9, , 1
2021/6/5, 32, 66, 8, 1, 1
2021/6/6, 48, 56, 7, 1, 1
2021/6/7, 54, 48, 12, 1, 1
2021/6/8, 63, 40, 11, 1, 1
2021/6/9, 54, 34, 11, , 1
2021/6/10, 46, 22, 15, 1, 1
2021/6/11, 23, 23, 7, 1, 1
2021/6/12, 34, 33, 9, , 1
2021/6/13, 35, 36, 5, 1, 1
2021/6/14, 37, 26, 13, , 1
2021/6/15, 22, 16, 15, 1, 2
2021/6/16, 28, 19, 12, , 1
2021/6/17, 39, 18, 12, , 1
2021/6/18, 31, 50, 11, 1, 1
2021/6/19, 38, 44, 7, 1, 
2021/6/20, 45, 47, 5, 1, 
2021/6/21, 37, 32, 10, 1, 
